palabra_clave;rol;grupo;tipo_dato;idioma;prioridad;rol_motor_actual
tipo del deposito;tipo_cuenta;bancario;texto;es;70;
tipo del tarjeta;tipo_cuenta;bancario;texto;es;70;
tipo_credito bancarios;tipo_cuenta;bancario;texto;es;70;
tipo_depositos;tipo_cuenta;bancario;texto;es;70;
tipo del credito bancarios;tipo_cuenta;bancario;texto;es;60;
tipo del cuentas;tipo_cuenta;bancario;texto;es;60;
tipo del depositos;tipo_cuenta;bancario;texto;es;60;
tipo del tarjetas;tipo_cuenta;bancario;texto;es;60;
asistentes;cantidad;cantidad;numero;es;100;cantidad
bultos;cantidad;cantidad;numero;es;100;cantidad
cajas;cantidad;cantidad;numero;es;100;cantidad
cant vendida;cantidad;cantidad;numero;es;100;cantidad
cantidad;cantidad;cantidad;numero;es;100;cantidad
cantidad clientes;cantidad;cantidad;numero;es;100;cantidad
cantidad comprada;cantidad;cantidad;numero;es;100;cantidad
cantidad items;cantidad;cantidad;numero;es;100;cantidad
cantidad pedidos;cantidad;cantidad;numero;es;100;cantidad
cantidad producto;cantidad;cantidad;numero;es;100;cantidad
cantidad vendida;cantidad;cantidad;numero;es;100;cantidad
cantidades;cantidad;cantidad;numero;es;100;cantidad
conteo;cantidad;cantidad;numero;es;100;cantidad
docenas;cantidad;cantidad;numero;es;100;cantidad
frecuencia;cantidad;cantidad;numero;es;100;cantidad
items;cantidad;cantidad;numero;es;100;cantidad
numero transacciones;cantidad;cantidad;numero;es;100;cantidad
numero unidades;cantidad;cantidad;numero;es;100;cantidad
numero ventas;cantidad;cantidad;numero;es;100;cantidad
numero visitas;cantidad;cantidad;numero;es;100;cantidad
pallets;cantidad;cantidad;numero;es;100;cantidad
pares;cantidad;cantidad;numero;es;100;cantidad
piezas;cantidad;cantidad;numero;es;100;cantidad
sesiones;cantidad;cantidad;numero;es;100;cantidad
unidades;cantidad;cantidad;numero;es;100;cantidad
unidades vendidas;cantidad;cantidad;numero;es;100;cantidad
amount units;cantidad;cantidad;numero;en;90;cantidad
cant vendidas;cantidad;cantidad;numero;es;90;cantidad
cantidad compradas;cantidad;cantidad;numero;es;90;cantidad
cantidad productos;cantidad;cantidad;numero;es;90;cantidad
cantidad vendidas;cantidad;cantidad;numero;es;90;cantidad
conteos;cantidad;cantidad;numero;es;90;cantidad
count;cantidad;cantidad;numero;en;90;cantidad
frecuencias;cantidad;cantidad;numero;es;90;cantidad
items sold;cantidad;cantidad;numero;en;90;cantidad
orders count;cantidad;cantidad;numero;en;90;cantidad
qty;cantidad;cantidad;numero;en;90;cantidad
quantity;cantidad;cantidad;numero;en;90;cantidad
units;cantidad;cantidad;numero;en;90;cantidad
volume sold;cantidad;cantidad;numero;en;90;cantidad
cantidad de atencion;cantidad;cantidad;numero;es;80;cantidad
cantidad de boleta;cantidad;cantidad;numero;es;80;cantidad
cantidad de cliente;cantidad;cantidad;numero;es;80;cantidad
cantidad de compra;cantidad;cantidad;numero;es;80;cantidad
cantidad de contrato;cantidad;cantidad;numero;es;80;cantidad
cantidad de cotizacion;cantidad;cantidad;numero;es;80;cantidad
cantidad de despacho;cantidad;cantidad;numero;es;80;cantidad
cantidad de devolucion;cantidad;cantidad;numero;es;80;cantidad
cantidad de egreso;cantidad;cantidad;numero;es;80;cantidad
cantidad de factura;cantidad;cantidad;numero;es;80;cantidad
cantidad de gasto;cantidad;cantidad;numero;es;80;cantidad
cantidad de guia despacho;cantidad;cantidad;numero;es;80;cantidad
cantidad de ingreso;cantidad;cantidad;numero;es;80;cantidad
cantidad de item;cantidad;cantidad;numero;es;80;cantidad
cantidad de liquidacion;cantidad;cantidad;numero;es;80;cantidad
cantidad de movimiento;cantidad;cantidad;numero;es;80;cantidad
cantidad de nota credito;cantidad;cantidad;numero;es;80;cantidad
cantidad de nota debito;cantidad;cantidad;numero;es;80;cantidad
cantidad de operacion;cantidad;cantidad;numero;es;80;cantidad
cantidad de orden;cantidad;cantidad;numero;es;80;cantidad
cantidad de pedido;cantidad;cantidad;numero;es;80;cantidad
cantidad de producto;cantidad;cantidad;numero;es;80;cantidad
cantidad de proyecto;cantidad;cantidad;numero;es;80;cantidad
cantidad de reclamo;cantidad;cantidad;numero;es;80;cantidad
cantidad de remesa;cantidad;cantidad;numero;es;80;cantidad
cantidad de rendicion;cantidad;cantidad;numero;es;80;cantidad
cantidad de servicio;cantidad;cantidad;numero;es;80;cantidad
cantidad de transaccion;cantidad;cantidad;numero;es;80;cantidad
cantidad de venta;cantidad;cantidad;numero;es;80;cantidad
cantidad de visita;cantidad;cantidad;numero;es;80;cantidad
cantidad_atencion;cantidad;cantidad;numero;es;80;cantidad
cantidad_boleta;cantidad;cantidad;numero;es;80;cantidad
cantidad_cliente;cantidad;cantidad;numero;es;80;cantidad
cantidad_compra;cantidad;cantidad;numero;es;80;cantidad
cantidad_contrato;cantidad;cantidad;numero;es;80;cantidad
cantidad_cotizacion;cantidad;cantidad;numero;es;80;cantidad
cantidad_despacho;cantidad;cantidad;numero;es;80;cantidad
cantidad_devolucion;cantidad;cantidad;numero;es;80;cantidad
cantidad_egreso;cantidad;cantidad;numero;es;80;cantidad
cantidad_factura;cantidad;cantidad;numero;es;80;cantidad
cantidad_gasto;cantidad;cantidad;numero;es;80;cantidad
cantidad_guia despacho;cantidad;cantidad;numero;es;80;cantidad
cantidad_ingreso;cantidad;cantidad;numero;es;80;cantidad
cantidad_item;cantidad;cantidad;numero;es;80;cantidad
cantidad_liquidacion;cantidad;cantidad;numero;es;80;cantidad
cantidad_movimiento;cantidad;cantidad;numero;es;80;cantidad
cantidad_nota credito;cantidad;cantidad;numero;es;80;cantidad
cantidad_nota debito;cantidad;cantidad;numero;es;80;cantidad
cantidad_operacion;cantidad;cantidad;numero;es;80;cantidad
cantidad_orden;cantidad;cantidad;numero;es;80;cantidad
cantidad_pedido;cantidad;cantidad;numero;es;80;cantidad
cantidad_proyecto;cantidad;cantidad;numero;es;80;cantidad
cantidad_reclamo;cantidad;cantidad;numero;es;80;cantidad
cantidad_remesa;cantidad;cantidad;numero;es;80;cantidad
cantidad_rendicion;cantidad;cantidad;numero;es;80;cantidad
cantidad_servicio;cantidad;cantidad;numero;es;80;cantidad
cantidad_transaccion;cantidad;cantidad;numero;es;80;cantidad
cantidad_venta;cantidad;cantidad;numero;es;80;cantidad
cantidad_visita;cantidad;cantidad;numero;es;80;cantidad
numero de atencion;id;identificador;texto;es;80;
numero de boleta;folio_documento;identificador;texto;es;80;
numero de cliente;id;identificador;texto;es;80;
numero de compra;folio_documento;identificador;texto;es;80;
numero de contrato;folio_documento;identificador;texto;es;80;
numero de cotizacion;folio_documento;identificador;texto;es;80;
numero de despacho;folio_documento;identificador;texto;es;80;
numero de devolucion;folio_documento;identificador;texto;es;80;
numero de egreso;folio_documento;identificador;texto;es;80;
numero de factura;folio_documento;identificador;texto;es;80;
numero de gasto;folio_documento;identificador;texto;es;80;
numero de guia despacho;folio_documento;identificador;texto;es;80;
numero de ingreso;folio_documento;identificador;texto;es;80;
numero de item;id;identificador;texto;es;80;
numero de liquidacion;folio_documento;identificador;texto;es;80;
numero de movimiento;folio_documento;identificador;texto;es;80;
numero de nota credito;folio_documento;identificador;texto;es;80;
numero de nota debito;folio_documento;identificador;texto;es;80;
numero de operacion;folio_documento;identificador;texto;es;80;
numero de orden;folio_documento;identificador;texto;es;80;
numero de pedido;folio_documento;identificador;texto;es;80;
numero de producto;id;identificador;texto;es;80;
numero de proyecto;id;identificador;texto;es;80;
numero de reclamo;id;identificador;texto;es;80;
numero de remesa;folio_documento;identificador;texto;es;80;
numero de rendicion;folio_documento;identificador;texto;es;80;
numero de servicio;id;identificador;texto;es;80;
numero de transaccion;folio_documento;identificador;texto;es;80;
numero de venta;folio_documento;identificador;texto;es;80;
numero de visita;id;identificador;texto;es;80;
numero_atencion;cantidad;cantidad;numero;es;80;cantidad
numero_cliente;cantidad;cantidad;numero;es;80;cantidad
numero_compra;cantidad;cantidad;numero;es;80;cantidad
numero_despacho;cantidad;cantidad;numero;es;80;cantidad
numero_devolucion;cantidad;cantidad;numero;es;80;cantidad
numero_egreso;cantidad;cantidad;numero;es;80;cantidad
numero_gasto;cantidad;cantidad;numero;es;80;cantidad
numero_guia despacho;cantidad;cantidad;numero;es;80;cantidad
numero_ingreso;cantidad;cantidad;numero;es;80;cantidad
numero_item;cantidad;cantidad;numero;es;80;cantidad
numero_liquidacion;cantidad;cantidad;numero;es;80;cantidad
numero_movimiento;cantidad;cantidad;numero;es;80;cantidad
numero_nota debito;cantidad;cantidad;numero;es;80;cantidad
numero_producto;cantidad;cantidad;numero;es;80;cantidad
numero_proyecto;cantidad;cantidad;numero;es;80;cantidad
numero_reclamo;cantidad;cantidad;numero;es;80;cantidad
numero_remesa;cantidad;cantidad;numero;es;80;cantidad
numero_rendicion;cantidad;cantidad;numero;es;80;cantidad
numero_servicio;cantidad;cantidad;numero;es;80;cantidad
numero_transaccion;cantidad;cantidad;numero;es;80;cantidad
numero_venta;cantidad;cantidad;numero;es;80;cantidad
numero_visita;cantidad;cantidad;numero;es;80;cantidad
unidades de atencion;cantidad;cantidad;numero;es;80;cantidad
unidades de boleta;cantidad;cantidad;numero;es;80;cantidad
unidades de cliente;cantidad;cantidad;numero;es;80;cantidad
unidades de compra;cantidad;cantidad;numero;es;80;cantidad
unidades de contrato;cantidad;cantidad;numero;es;80;cantidad
unidades de cotizacion;cantidad;cantidad;numero;es;80;cantidad
unidades de despacho;cantidad;cantidad;numero;es;80;cantidad
unidades de devolucion;cantidad;cantidad;numero;es;80;cantidad
unidades de egreso;cantidad;cantidad;numero;es;80;cantidad
unidades de factura;cantidad;cantidad;numero;es;80;cantidad
unidades de gasto;cantidad;cantidad;numero;es;80;cantidad
unidades de guia despacho;cantidad;cantidad;numero;es;80;cantidad
unidades de ingreso;cantidad;cantidad;numero;es;80;cantidad
unidades de item;cantidad;cantidad;numero;es;80;cantidad
unidades de liquidacion;cantidad;cantidad;numero;es;80;cantidad
unidades de movimiento;cantidad;cantidad;numero;es;80;cantidad
unidades de nota credito;cantidad;cantidad;numero;es;80;cantidad
unidades de nota debito;cantidad;cantidad;numero;es;80;cantidad
unidades de operacion;cantidad;cantidad;numero;es;80;cantidad
unidades de orden;cantidad;cantidad;numero;es;80;cantidad
unidades de pedido;cantidad;cantidad;numero;es;80;cantidad
unidades de producto;cantidad;cantidad;numero;es;80;cantidad
unidades de proyecto;cantidad;cantidad;numero;es;80;cantidad
unidades de reclamo;cantidad;cantidad;numero;es;80;cantidad
unidades de remesa;cantidad;cantidad;numero;es;80;cantidad
unidades de rendicion;cantidad;cantidad;numero;es;80;cantidad
unidades de servicio;cantidad;cantidad;numero;es;80;cantidad
unidades de transaccion;cantidad;cantidad;numero;es;80;cantidad
unidades de venta;cantidad;cantidad;numero;es;80;cantidad
unidades de visita;cantidad;cantidad;numero;es;80;cantidad
unidades_atencion;cantidad;cantidad;numero;es;80;cantidad
unidades_boleta;cantidad;cantidad;numero;es;80;cantidad
unidades_cliente;cantidad;cantidad;numero;es;80;cantidad
unidades_compra;cantidad;cantidad;numero;es;80;cantidad
unidades_contrato;cantidad;cantidad;numero;es;80;cantidad
unidades_cotizacion;cantidad;cantidad;numero;es;80;cantidad
unidades_despacho;cantidad;cantidad;numero;es;80;cantidad
unidades_devolucion;cantidad;cantidad;numero;es;80;cantidad
unidades_egreso;cantidad;cantidad;numero;es;80;cantidad
unidades_factura;cantidad;cantidad;numero;es;80;cantidad
unidades_gasto;cantidad;cantidad;numero;es;80;cantidad
unidades_guia despacho;cantidad;cantidad;numero;es;80;cantidad
unidades_ingreso;cantidad;cantidad;numero;es;80;cantidad
unidades_item;cantidad;cantidad;numero;es;80;cantidad
unidades_liquidacion;cantidad;cantidad;numero;es;80;cantidad
unidades_movimiento;cantidad;cantidad;numero;es;80;cantidad
unidades_nota credito;cantidad;cantidad;numero;es;80;cantidad
unidades_nota debito;cantidad;cantidad;numero;es;80;cantidad
unidades_operacion;cantidad;cantidad;numero;es;80;cantidad
unidades_orden;cantidad;cantidad;numero;es;80;cantidad
unidades_pedido;cantidad;cantidad;numero;es;80;cantidad
unidades_producto;cantidad;cantidad;numero;es;80;cantidad
unidades_proyecto;cantidad;cantidad;numero;es;80;cantidad
unidades_reclamo;cantidad;cantidad;numero;es;80;cantidad
unidades_remesa;cantidad;cantidad;numero;es;80;cantidad
unidades_rendicion;cantidad;cantidad;numero;es;80;cantidad
unidades_servicio;cantidad;cantidad;numero;es;80;cantidad
unidades_transaccion;cantidad;cantidad;numero;es;80;cantidad
unidades_venta;cantidad;cantidad;numero;es;80;cantidad
unidades_visita;cantidad;cantidad;numero;es;80;cantidad
cantidad de atenciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de boletas;cantidad;cantidad;numero;es;70;cantidad
cantidad de clientes;cantidad;cantidad;numero;es;70;cantidad
cantidad de compras;cantidad;cantidad;numero;es;70;cantidad
cantidad de contratos;cantidad;cantidad;numero;es;70;cantidad
cantidad de cotizaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de despachos;cantidad;cantidad;numero;es;70;cantidad
cantidad de devoluciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de egresos;cantidad;cantidad;numero;es;70;cantidad
cantidad de facturas;cantidad;cantidad;numero;es;70;cantidad
cantidad de gastos;cantidad;cantidad;numero;es;70;cantidad
cantidad de guia despachos;cantidad;cantidad;numero;es;70;cantidad
cantidad de ingresos;cantidad;cantidad;numero;es;70;cantidad
cantidad de liquidaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de movimientos;cantidad;cantidad;numero;es;70;cantidad
cantidad de nota creditos;cantidad;cantidad;numero;es;70;cantidad
cantidad de nota debitos;cantidad;cantidad;numero;es;70;cantidad
cantidad de operaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de ordenes;cantidad;cantidad;numero;es;70;cantidad
cantidad de pedidos;cantidad;cantidad;numero;es;70;cantidad
cantidad de productos;cantidad;cantidad;numero;es;70;cantidad
cantidad de proyectos;cantidad;cantidad;numero;es;70;cantidad
cantidad de reclamos;cantidad;cantidad;numero;es;70;cantidad
cantidad de remesas;cantidad;cantidad;numero;es;70;cantidad
cantidad de rendiciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de servicios;cantidad;cantidad;numero;es;70;cantidad
cantidad de transacciones;cantidad;cantidad;numero;es;70;cantidad
cantidad de ventas;cantidad;cantidad;numero;es;70;cantidad
cantidad de visitas;cantidad;cantidad;numero;es;70;cantidad
cantidad del atencion;cantidad;cantidad;numero;es;70;cantidad
cantidad del boleta;cantidad;cantidad;numero;es;70;cantidad
cantidad del cliente;cantidad;cantidad;numero;es;70;cantidad
cantidad del compra;cantidad;cantidad;numero;es;70;cantidad
cantidad del contrato;cantidad;cantidad;numero;es;70;cantidad
cantidad del cotizacion;cantidad;cantidad;numero;es;70;cantidad
cantidad del despacho;cantidad;cantidad;numero;es;70;cantidad
cantidad del devolucion;cantidad;cantidad;numero;es;70;cantidad
cantidad del egreso;cantidad;cantidad;numero;es;70;cantidad
cantidad del factura;cantidad;cantidad;numero;es;70;cantidad
cantidad del gasto;cantidad;cantidad;numero;es;70;cantidad
cantidad del guia despacho;cantidad;cantidad;numero;es;70;cantidad
cantidad del ingreso;cantidad;cantidad;numero;es;70;cantidad
cantidad del item;cantidad;cantidad;numero;es;70;cantidad
cantidad del liquidacion;cantidad;cantidad;numero;es;70;cantidad
cantidad del movimiento;cantidad;cantidad;numero;es;70;cantidad
cantidad del nota credito;cantidad;cantidad;numero;es;70;cantidad
cantidad del nota debito;cantidad;cantidad;numero;es;70;cantidad
cantidad del operacion;cantidad;cantidad;numero;es;70;cantidad
cantidad del orden;cantidad;cantidad;numero;es;70;cantidad
cantidad del pedido;cantidad;cantidad;numero;es;70;cantidad
cantidad del producto;cantidad;cantidad;numero;es;70;cantidad
cantidad del proyecto;cantidad;cantidad;numero;es;70;cantidad
cantidad del reclamo;cantidad;cantidad;numero;es;70;cantidad
cantidad del remesa;cantidad;cantidad;numero;es;70;cantidad
cantidad del rendicion;cantidad;cantidad;numero;es;70;cantidad
cantidad del servicio;cantidad;cantidad;numero;es;70;cantidad
cantidad del transaccion;cantidad;cantidad;numero;es;70;cantidad
cantidad del venta;cantidad;cantidad;numero;es;70;cantidad
cantidad del visita;cantidad;cantidad;numero;es;70;cantidad
cantidad_atenciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_boletas;cantidad;cantidad;numero;es;70;cantidad
cantidad_compras;cantidad;cantidad;numero;es;70;cantidad
cantidad_contratos;cantidad;cantidad;numero;es;70;cantidad
cantidad_cotizaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_despachos;cantidad;cantidad;numero;es;70;cantidad
cantidad_devoluciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_egresos;cantidad;cantidad;numero;es;70;cantidad
cantidad_facturas;cantidad;cantidad;numero;es;70;cantidad
cantidad_gastos;cantidad;cantidad;numero;es;70;cantidad
cantidad_guia despachos;cantidad;cantidad;numero;es;70;cantidad
cantidad_ingresos;cantidad;cantidad;numero;es;70;cantidad
cantidad_liquidaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_movimientos;cantidad;cantidad;numero;es;70;cantidad
cantidad_nota creditos;cantidad;cantidad;numero;es;70;cantidad
cantidad_nota debitos;cantidad;cantidad;numero;es;70;cantidad
cantidad_operaciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_ordenes;cantidad;cantidad;numero;es;70;cantidad
cantidad_proyectos;cantidad;cantidad;numero;es;70;cantidad
cantidad_reclamos;cantidad;cantidad;numero;es;70;cantidad
cantidad_remesas;cantidad;cantidad;numero;es;70;cantidad
cantidad_rendiciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_servicios;cantidad;cantidad;numero;es;70;cantidad
cantidad_transacciones;cantidad;cantidad;numero;es;70;cantidad
cantidad_ventas;cantidad;cantidad;numero;es;70;cantidad
cantidad_visitas;cantidad;cantidad;numero;es;70;cantidad
item count;cantidad;cantidad;numero;en;70;cantidad
line qty;cantidad;cantidad;numero;en;70;cantidad
number of items;cantidad;cantidad;numero;en;70;cantidad
number of orders;cantidad;cantidad;numero;en;70;cantidad
numero de atenciones;cantidad;cantidad;numero;es;70;cantidad
numero de boletas;cantidad;cantidad;numero;es;70;cantidad
numero de clientes;cantidad;cantidad;numero;es;70;cantidad
numero de compras;cantidad;cantidad;numero;es;70;cantidad
numero de contratos;cantidad;cantidad;numero;es;70;cantidad
numero de cotizaciones;cantidad;cantidad;numero;es;70;cantidad
numero de despachos;cantidad;cantidad;numero;es;70;cantidad
numero de devoluciones;cantidad;cantidad;numero;es;70;cantidad
numero de egresos;cantidad;cantidad;numero;es;70;cantidad
numero de facturas;cantidad;cantidad;numero;es;70;cantidad
numero de gastos;cantidad;cantidad;numero;es;70;cantidad
numero de guia despachos;cantidad;cantidad;numero;es;70;cantidad
numero de ingresos;cantidad;cantidad;numero;es;70;cantidad
numero de liquidaciones;cantidad;cantidad;numero;es;70;cantidad
numero de movimientos;cantidad;cantidad;numero;es;70;cantidad
numero de nota creditos;cantidad;cantidad;numero;es;70;cantidad
numero de nota debitos;cantidad;cantidad;numero;es;70;cantidad
numero de operaciones;cantidad;cantidad;numero;es;70;cantidad
numero de ordenes;cantidad;cantidad;numero;es;70;cantidad
numero de pedidos;cantidad;cantidad;numero;es;70;cantidad
numero de productos;cantidad;cantidad;numero;es;70;cantidad
numero de proyectos;cantidad;cantidad;numero;es;70;cantidad
numero de reclamos;cantidad;cantidad;numero;es;70;cantidad
numero de remesas;cantidad;cantidad;numero;es;70;cantidad
numero de rendiciones;cantidad;cantidad;numero;es;70;cantidad
numero de servicios;cantidad;cantidad;numero;es;70;cantidad
numero de transacciones;cantidad;cantidad;numero;es;70;cantidad
numero de ventas;cantidad;cantidad;numero;es;70;cantidad
numero de visitas;cantidad;cantidad;numero;es;70;cantidad
numero del atencion;id;identificador;texto;es;70;
numero del boleta;folio_documento;identificador;texto;es;70;
numero del cliente;id;identificador;texto;es;70;
numero del compra;folio_documento;identificador;texto;es;70;
numero del contrato;folio_documento;identificador;texto;es;70;
numero del cotizacion;folio_documento;identificador;texto;es;70;
numero del despacho;folio_documento;identificador;texto;es;70;
numero del devolucion;folio_documento;identificador;texto;es;70;
numero del egreso;folio_documento;identificador;texto;es;70;
numero del factura;folio_documento;identificador;texto;es;70;
numero del gasto;folio_documento;identificador;texto;es;70;
numero del guia despacho;folio_documento;identificador;texto;es;70;
numero del ingreso;folio_documento;identificador;texto;es;70;
numero del item;id;identificador;texto;es;70;
numero del liquidacion;folio_documento;identificador;texto;es;70;
numero del movimiento;folio_documento;identificador;texto;es;70;
numero del nota credito;folio_documento;identificador;texto;es;70;
numero del nota debito;folio_documento;identificador;texto;es;70;
numero del operacion;folio_documento;identificador;texto;es;70;
numero del orden;folio_documento;identificador;texto;es;70;
numero del pedido;folio_documento;identificador;texto;es;70;
numero del producto;id;identificador;texto;es;70;
numero del proyecto;id;identificador;texto;es;70;
numero del reclamo;id;identificador;texto;es;70;
numero del remesa;folio_documento;identificador;texto;es;70;
numero del rendicion;folio_documento;identificador;texto;es;70;
numero del servicio;id;identificador;texto;es;70;
numero del transaccion;folio_documento;identificador;texto;es;70;
numero del venta;folio_documento;identificador;texto;es;70;
numero del visita;id;identificador;texto;es;70;
numero_atenciones;cantidad;cantidad;numero;es;70;cantidad
numero_clientes;cantidad;cantidad;numero;es;70;cantidad
numero_compras;cantidad;cantidad;numero;es;70;cantidad
numero_despachos;cantidad;cantidad;numero;es;70;cantidad
numero_devoluciones;cantidad;cantidad;numero;es;70;cantidad
numero_egresos;cantidad;cantidad;numero;es;70;cantidad
numero_gastos;cantidad;cantidad;numero;es;70;cantidad
numero_guia despachos;cantidad;cantidad;numero;es;70;cantidad
numero_ingresos;cantidad;cantidad;numero;es;70;cantidad
numero_liquidaciones;cantidad;cantidad;numero;es;70;cantidad
numero_movimientos;cantidad;cantidad;numero;es;70;cantidad
numero_nota debitos;cantidad;cantidad;numero;es;70;cantidad
numero_productos;cantidad;cantidad;numero;es;70;cantidad
numero_proyectos;cantidad;cantidad;numero;es;70;cantidad
numero_reclamos;cantidad;cantidad;numero;es;70;cantidad
numero_remesas;cantidad;cantidad;numero;es;70;cantidad
numero_rendiciones;cantidad;cantidad;numero;es;70;cantidad
numero_servicios;cantidad;cantidad;numero;es;70;cantidad
order count;cantidad;cantidad;numero;en;70;cantidad
order qty;cantidad;cantidad;numero;en;70;cantidad
qty ordered;cantidad;cantidad;numero;en;70;cantidad
qty received;cantidad;cantidad;numero;en;70;cantidad
qty shipped;cantidad;cantidad;numero;en;70;cantidad
qty sold;cantidad;cantidad;numero;en;70;cantidad
sales count;cantidad;cantidad;numero;en;70;cantidad
session count;cantidad;cantidad;numero;en;70;cantidad
ticket count;cantidad;cantidad;numero;en;70;cantidad
total units;cantidad;cantidad;numero;en;70;cantidad
transaction count;cantidad;cantidad;numero;en;70;cantidad
unidades de atenciones;cantidad;cantidad;numero;es;70;cantidad
unidades de boletas;cantidad;cantidad;numero;es;70;cantidad
unidades de clientes;cantidad;cantidad;numero;es;70;cantidad
unidades de compras;cantidad;cantidad;numero;es;70;cantidad
unidades de contratos;cantidad;cantidad;numero;es;70;cantidad
unidades de cotizaciones;cantidad;cantidad;numero;es;70;cantidad
